permno,adate,qdate,public_date,bm,TICKER
10233,1978-12-31,1979-09-30,1980-01-31,0.569,ABC
10233,1979-12-31,1979-12-31,1980-02-29,0.696,ABC
10233,1979-12-31,1979-12-31,1980-03-31,0.696,ABC
10233,1979-12-31,1979-12-31,1980-04-30,0.696,ABC
10233,1979-12-31,1980-03-31,1980-05-31,0.866,ABC
10233,1979-12-31,1980-03-31,1980-06-30,0.866,ABC
10233,1979-12-31,1980-03-31,1980-07-31,0.866,ABC
10233,1979-12-31,1980-06-30,1980-08-31,1.003,ABC
10233,1979-12-31,1980-06-30,1980-09-30,1.003,ABC
10233,1979-12-31,1980-06-30,1980-10-31,1.003,ABC
10233,1979-12-31,1980-09-30,1980-11-30,0.879,ABC
10233,1979-12-31,1980-09-30,1980-12-31,0.879,ABC
10233,1979-12-31,1980-09-30,1981-01-31,0.879,ABC
10233,1980-12-31,1980-12-31,1981-02-28,1.150,ABC
10233,1980-12-31,1980-12-31,1981-03-31,1.150,ABC
10233,1980-12-31,1980-12-31,1981-04-30,1.150,ABC
10233,1980-12-31,1981-03-31,1981-05-31,0.946,ABC
10233,1980-12-31,1981-03-31,1981-06-30,0.946,ABC
10233,1980-12-31,1981-03-31,1981-07-31,0.946,ABC
10233,1980-12-31,1981-06-30,1981-08-31,1.055,ABC
10233,1980-12-31,1981-06-30,1981-09-30,1.055,ABC
10233,1980-12-31,1981-06-30,1981-10-31,1.055,ABC
10233,1980-12-31,1981-09-30,1981-11-30,1.092,ABC
10233,1980-12-31,1981-09-30,1981-12-31,1.092,ABC
10233,1980-12-31,1981-09-30,1982-01-31,1.092,ABC
10233,1981-12-31,1981-12-31,1982-02-28,1.004,ABC
10233,1981-12-31,1981-12-31,1982-03-31,1.004,ABC
10233,1981-12-31,1981-12-31,1982-04-30,1.004,ABC
10233,1981-12-31,1982-03-31,1982-05-31,1.025,ABC
10233,1981-12-31,1982-03-31,1982-06-30,1.025,ABC
10233,1981-12-31,1982-03-31,1982-07-31,1.025,ABC
10233,1981-12-31,1982-06-30,1982-08-31,0.938,ABC
10233,1981-12-31,1982-06-30,1982-09-30,0.938,ABC
10233,1981-12-31,1982-06-30,1982-10-31,0.938,ABC
10233,1981-12-31,1982-09-30,1982-11-30,0.777,ABC
10233,1981-12-31,1982-09-30,1982-12-31,0.777,ABC
10233,1981-12-31,1982-09-30,1983-01-31,0.777,ABC
10233,1982-12-31,1982-12-31,1983-02-28,0.666,ABC
10233,1982-12-31,1982-12-31,1983-03-31,0.666,ABC
10233,1982-12-31,1982-12-31,1983-04-30,0.666,ABC
10233,1982-12-31,1983-03-31,1983-05-31,0.600,ABC
10233,1982-12-31,1983-03-31,1983-06-30,0.600,ABC
10233,1982-12-31,1983-03-31,1983-07-31,0.600,ABC
10233,1982-12-31,1983-06-30,1983-08-31,0.624,ABC
10233,1982-12-31,1983-06-30,1983-09-30,0.624,ABC
10233,1982-12-31,1983-06-30,1983-10-31,0.624,ABC
10233,1982-12-31,1983-09-30,1983-11-30,0.682,ABC
10233,1982-12-31,1983-09-30,1983-12-31,0.682,ABC
10233,1982-12-31,1983-09-30,1984-01-31,0.682,ABC
10233,1983-12-31,1983-12-31,1984-02-29,0.759,ABC
10233,1983-12-31,1983-12-31,1984-03-31,0.759,ABC
10233,1983-12-31,1983-12-31,1984-04-30,0.759,ABC
10233,1983-12-31,1984-03-31,1984-05-31,0.714,ABC
10233,1983-12-31,1984-03-31,1984-06-30,0.714,ABC
10233,1983-12-31,1984-03-31,1984-07-31,0.714,ABC
10233,1983-12-31,1984-06-30,1984-08-31,0.697,ABC
10233,1983-12-31,1984-06-30,1984-09-30,0.697,ABC
10233,1983-12-31,1984-06-30,1984-10-31,0.697,ABC
10233,1983-12-31,1984-09-30,1984-11-30,0.651,ABC
10233,1983-12-31,1984-09-30,1984-12-31,0.651,ABC
