gvkey,iid,datadate,tic,conm,navm,prccm,prchm,prclm,cmth,cyear,exchg
001161,01,1980-01-31,AMD,ADVANCED MICRO DEVICES,,43.3750,46.3750,32.1250,,,14
001161,01,1980-02-29,AMD,ADVANCED MICRO DEVICES,,42.0000,46.3750,41.0000,,,14
001161,01,1980-03-31,AMD,ADVANCED MICRO DEVICES,,30.5000,44.1250,26.8750,,,14
001161,01,1980-04-30,AMD,ADVANCED MICRO DEVICES,,30.6250,33.7500,27.2500,,,14
001161,01,1980-05-31,AMD,ADVANCED MICRO DEVICES,,38.0000,38.5000,29.0000,,,14
001161,01,1980-06-30,AMD,ADVANCED MICRO DEVICES,,36.5000,38.0000,34.3750,,,14
001161,01,1980-07-31,AMD,ADVANCED MICRO DEVICES,,49.6250,49.8750,36.1250,,,14
001161,01,1980-08-31,AMD,ADVANCED MICRO DEVICES,,51.2500,57.0000,46.8750,,,14
001161,01,1980-09-30,AMD,ADVANCED MICRO DEVICES,,62.1250,69.8750,50.1250,,,14
001161,01,1980-10-31,AMD,ADVANCED MICRO DEVICES,,28.7500,33.2500,27.1250,,,14
001161,01,1980-11-30,AMD,ADVANCED MICRO DEVICES,,41.7500,44.5000,28.7500,,,14
001161,01,1980-12-31,AMD,ADVANCED MICRO DEVICES,,34.5000,42.7500,29.5000,,,14
001161,01,1981-01-31,AMD,ADVANCED MICRO DEVICES,,23.6250,36.2500,23.3750,,,14
001161,01,1981-02-28,AMD,ADVANCED MICRO DEVICES,,23.2500,26.5000,20.0000,,,14
001161,01,1981-03-31,AMD,ADVANCED MICRO DEVICES,,26.1250,27.2500,22.3750,,,14
001161,01,1981-04-30,AMD,ADVANCED MICRO DEVICES,,27.3750,31.0000,23.6250,,,14
001161,01,1981-05-31,AMD,ADVANCED MICRO DEVICES,,28.5000,29.0000,25.1250,,,14
001161,01,1981-06-30,AMD,ADVANCED MICRO DEVICES,,23.5000,29.7500,22.6250,,,14
001161,01,1981-07-31,AMD,ADVANCED MICRO DEVICES,,20.0000,23.7500,20.0000,,,14
001161,01,1981-08-31,AMD,ADVANCED MICRO DEVICES,,18.3750,21.2500,18.2500,,,14
001161,01,1981-09-30,AMD,ADVANCED MICRO DEVICES,,16.2500,19.0000,14.0000,,,14
001161,01,1981-10-31,AMD,ADVANCED MICRO DEVICES,,19.7500,20.5000,16.0000,,,14
001161,01,1981-11-30,AMD,ADVANCED MICRO DEVICES,,17.0000,21.2500,16.3750,,,14
001161,01,1981-12-31,AMD,ADVANCED MICRO DEVICES,,17.6250,18.7500,16.7500,,,14
001161,01,1982-01-31,AMD,ADVANCED MICRO DEVICES,,19.6250,20.0000,15.5000,,,14
001161,01,1982-02-28,AMD,ADVANCED MICRO DEVICES,,18.7500,19.7500,16.7500,,,14
001161,01,1982-03-31,AMD,ADVANCED MICRO DEVICES,,22.5000,23.7500,17.8750,,,14
001161,01,1982-04-30,AMD,ADVANCED MICRO DEVICES,,25.0000,25.2500,22.5000,,,14
001161,01,1982-05-31,AMD,ADVANCED MICRO DEVICES,,23.5000,27.1250,23.1250,,,14
001161,01,1982-06-30,AMD,ADVANCED MICRO DEVICES,,24.2500,25.0000,22.1250,,,14
001161,01,1982-07-31,AMD,ADVANCED MICRO DEVICES,,25.2500,27.2500,22.5000,,,14
001161,01,1982-08-31,AMD,ADVANCED MICRO DEVICES,,30.2500,30.5000,19.6250,,,14
001161,01,1982-09-30,AMD,ADVANCED MICRO DEVICES,,26.6250,31.3750,25.8750,,,14
001161,01,1982-10-31,AMD,ADVANCED MICRO DEVICES,,23.7500,24.6670,17.5000,,,14
001161,01,1982-11-30,AMD,ADVANCED MICRO DEVICES,,25.0000,28.0000,21.8750,,,14
001161,01,1982-12-31,AMD,ADVANCED MICRO DEVICES,,25.1250,27.5000,22.7500,,,14
001161,01,1983-01-31,AMD,ADVANCED MICRO DEVICES,,36.0000,36.0000,24.2500,,,14
001161,01,1983-02-28,AMD,ADVANCED MICRO DEVICES,,36.5000,39.2500,32.7500,,,14
001161,01,1983-03-31,AMD,ADVANCED MICRO DEVICES,,33.5000,38.2500,32.2500,,,14
001161,01,1983-04-30,AMD,ADVANCED MICRO DEVICES,,38.0000,38.8750,31.0000,,,14
001161,01,1983-05-31,AMD,ADVANCED MICRO DEVICES,,48.5000,53.0000,37.1250,,,14
001161,01,1983-06-30,AMD,ADVANCED MICRO DEVICES,,64.5000,66.6250,48.6250,,,14
001161,01,1983-07-31,AMD,ADVANCED MICRO DEVICES,,59.5000,69.7500,54.0000,,,14
001161,01,1983-08-31,AMD,ADVANCED MICRO DEVICES,,31.7500,31.7500,25.6870,,,14
001161,01,1983-09-30,AMD,ADVANCED MICRO DEVICES,,29.0000,33.8750,28.0000,,,14
001161,01,1983-10-31,AMD,ADVANCED MICRO DEVICES,,30.0000,33.7500,28.0000,,,14
001161,01,1983-11-30,AMD,ADVANCED MICRO DEVICES,,34.0000,35.5000,26.7500,,,14
001161,01,1983-12-31,AMD,ADVANCED MICRO DEVICES,,33.6250,34.7500,31.5000,,,14
001161,01,1984-01-31,AMD,ADVANCED MICRO DEVICES,,28.7500,37.5000,28.0000,,,14
001161,01,1984-02-29,AMD,ADVANCED MICRO DEVICES,,28.2500,30.2500,25.1250,,,14
001161,01,1984-03-31,AMD,ADVANCED MICRO DEVICES,,28.5000,31.7500,26.3750,,,14
001161,01,1984-04-30,AMD,ADVANCED MICRO DEVICES,,34.3750,34.8750,26.7500,,,14
001161,01,1984-05-31,AMD,ADVANCED MICRO DEVICES,,31.6250,35.3750,29.5000,,,14
001161,01,1984-06-30,AMD,ADVANCED MICRO DEVICES,,30.7500,33.2500,28.1250,,,14
